Season,Date,Team 1,Score 1,Team 2,Score 2,Venue
Season 2,"December 06, 2023",Telugu Titans,28,Patna Pirates,50,"EKA Arena by TransStadia, Ahmedabad"
Season 2,"December 06, 2023",U.P. Yoddhas,57,Haryana Steelers,27,"EKA Arena by TransStadia, Ahmedabad"
Season 2,"December 07, 2023",Bengal Warriors,28,Jaipur Pink Panthers,28,"EKA Arena by TransStadia, Ahmedabad"
Season 2,"December 07, 2023",Gujarat Giants,30,Patna Pirates,33,"EKA Arena by TransStadia, Ahmedabad"
Season 2,"December 08, 2023",Bengaluru Bulls,31,Dabang Delhi K.C.,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 08, 2023",Puneri Paltan,43,U Mumba,32,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 09, 2023",Bengaluru Bulls,32,Haryana Steelers,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 09, 2023",U.P. Yoddhas,48,Telugu Titans,33,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 10, 2023",Bengal Warriors,48,Tamil Thalaivas,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 10, 2023",Dabang Delhi K.C.,33,Haryana Steelers,35,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 11, 2023",Jaipur Pink Panthers,35,Gujarat Giants,32,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 11, 2023",Bengaluru Bulls,38,U.P. Yoddhas,36,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 12, 2023",Bengal Warriors,60,Patna Pirates,42,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 13, 2023",Tamil Thalaivas,38,Telugu Titans,36,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 13, 2023",Bengaluru Bulls,32,Jaipur Pink Panthers,30,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 2,"December 15, 2023",U Mumba,42,Patna Pirates,40,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 15, 2023",Puneri Paltan,39,Haryana Steelers,44,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 16, 2023",Puneri Paltan,49,Bengal Warriors,19,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 16, 2023",Telugu Titans,40,Dabang Delhi K.C.,51,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 17, 2023",Patna Pirates,28,Jaipur Pink Panthers,29,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 17, 2023",U Mumba,46,Tamil Thalaivas,33,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 18, 2023",Bengal Warriors,37,U.P. Yoddhas,37,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 18, 2023",Puneri Paltan,30,Dabang Delhi K.C.,23,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 19, 2023",Haryana Steelers,31,Gujarat Giants,29,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 20, 2023",Jaipur Pink Panthers,41,U.P. Yoddhas,24,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 20, 2023",Puneri Paltan,43,Bengaluru Bulls,18,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 2,"December 22, 2023",Tamil Thalaivas,33,Patna Pirates,46,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 22, 2023",Haryana Steelers,36,Telugu Titans,37,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 23, 2023",Tamil Thalaivas,24,Jaipur Pink Panthers,25,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 23, 2023",Gujarat Giants,38,U.P. Yoddhas,30,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 24, 2023",U Mumba,39,Bengal Warriors,37,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 24, 2023",Bengaluru Bulls,33,Telugu Titans,31,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 25, 2023",Bengal Warriors,29,Dabang Delhi K.C.,38,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 25, 2023",Tamil Thalaivas,29,Haryana Steelers,42,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 26, 2023",Puneri Paltan,46,Patna Pirates,28,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 27, 2023",Jaipur Pink Panthers,32,Dabang Delhi K.C.,32,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 27, 2023",Tamil Thalaivas,30,Gujarat Giants,33,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 2,"December 29, 2023",Patna Pirates,46,Haryana Steelers,33,"Noida Indoor Stadium, Noida"
Season 2,"December 29, 2023",U.P. Yoddhas,34,Bengaluru Bulls,33,"Noida Indoor Stadium, Noida"
Season 2,"December 30, 2023",Telugu Titans,34,U Mumba,52,"Noida Indoor Stadium, Noida"
Season 2,"December 30, 2023",U.P. Yoddhas,25,Dabang Delhi K.C.,35,"Noida Indoor Stadium, Noida"
Season 2,"December 31, 2023",Gujarat Giants,51,Bengal Warriors,42,"Noida Indoor Stadium, Noida"
Season 2,"December 31, 2023",Tamil Thalaivas,37,Bengaluru Bulls,38,"Noida Indoor Stadium, Noida"
Season 2,"January 01, 2024",Telugu Titans,18,Puneri Paltan,54,"Noida Indoor Stadium, Noida"
Season 2,"January 01, 2024",U.P. Yoddhas,41,Patna Pirates,48,"Noida Indoor Stadium, Noida"
Season 2,"January 02, 2024",Gujarat Giants,28,Dabang Delhi K.C.,35,"Noida Indoor Stadium, Noida"
Season 2,"January 03, 2024",Haryana Steelers,34,Jaipur Pink Panthers,45,"Noida Indoor Stadium, Noida"
Season 2,"January 03, 2024",U.P. Yoddhas,31,Puneri Paltan,40,"Noida Indoor Stadium, Noida"
Season 2,"January 05, 2024",Patna Pirates,37,Dabang Delhi K.C.,38,"DOME by NSCI, Mumbai"
Season 2,"January 05, 2024",U Mumba,40,Bengaluru Bulls,35,"DOME by NSCI, Mumbai"
Season 2,"January 06, 2024",U Mumba,31,Jaipur Pink Panthers,41,"DOME by NSCI, Mumbai"
Season 2,"January 06, 2024",Telugu Titans,30,Gujarat Giants,37,"DOME by NSCI, Mumbai"
Season 2,"January 07, 2024",Puneri Paltan,29,Tamil Thalaivas,26,"DOME by NSCI, Mumbai"
Season 2,"January 07, 2024",Bengal Warriors,35,Haryana Steelers,41,"DOME by NSCI, Mumbai"
Season 2,"January 08, 2024",Bengaluru Bulls,35,Patna Pirates,33,"DOME by NSCI, Mumbai"
Season 2,"January 08, 2024",U Mumba,34,Dabang Delhi K.C.,40,"DOME by NSCI, Mumbai"
Season 2,"January 09, 2024",Telugu Titans,26,Bengal Warriors,46,"DOME by NSCI, Mumbai"
Season 2,"January 10, 2024",U.P. Yoddhas,27,Tamil Thalaivas,46,"DOME by NSCI, Mumbai"
Season 2,"January 10, 2024",U Mumba,44,Haryana Steelers,44,"DOME by NSCI, Mumbai"
Season 2,"January 12, 2024",Jaipur Pink Panthers,38,Telugu Titans,35,"SMS Indoor stadium, Jaipur"
Season 2,"January 12, 2024",Puneri Paltan,37,Gujarat Giants,17,"SMS Indoor stadium, Jaipur"
Season 2,"January 13, 2024",Jaipur Pink Panthers,36,Puneri Paltan,34,"SMS Indoor stadium, Jaipur"
Season 2,"January 13, 2024",U.P. Yoddhas,37,Bengal Warriors,42,"SMS Indoor stadium, Jaipur"
Season 2,"January 14, 2024",Haryana Steelers,36,Tamil Thalaivas,31,"SMS Indoor stadium, Jaipur"
Season 2,"January 14, 2024",Dabang Delhi K.C.,39,Patna Pirates,39,"SMS Indoor stadium, Jaipur"
Season 2,"January 15, 2024",Bengal Warriors,35,Bengaluru Bulls,29,"SMS Indoor stadium, Jaipur"
Season 2,"January 15, 2024",Jaipur Pink Panthers,31,U Mumba,29,"SMS Indoor stadium, Jaipur"
Season 2,"January 16, 2024",Patna Pirates,25,Tamil Thalaivas,41,"SMS Indoor stadium, Jaipur"
Season 2,"January 17, 2024",Dabang Delhi K.C.,26,Gujarat Giants,31,"SMS Indoor stadium, Jaipur"
Season 2,"January 17, 2024",Jaipur Pink Panthers,37,Haryana Steelers,27,"SMS Indoor stadium, Jaipur"
Season 2,"January 19, 2024",Telugu Titans,26,Bengaluru Bulls,42,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 19, 2024",Patna Pirates,34,U.P. Yoddhas,31,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 20, 2024",Dabang Delhi K.C.,39,U Mumba,33,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 20, 2024",Telugu Titans,49,U.P. Yoddhas,32,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 21, 2024",Bengaluru Bulls,28,Tamil Thalaivas,45,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 21, 2024",Gujarat Giants,24,Puneri Paltan,34,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 22, 2024",Jaipur Pink Panthers,42,Bengal Warriors,25,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 22, 2024",Telugu Titans,30,Haryana Steelers,37,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 23, 2024",U Mumba,32,Puneri Paltan,32,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 24, 2024",Haryana Steelers,32,Dabang Delhi K.C.,35,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 24, 2024",Telugu Titans,29,Tamil Thalaivas,54,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"January 26, 2024",Patna Pirates,44,Bengal Warriors,28,"Patliputra indoor stadium, Patna"
Season 2,"January 26, 2024",U Mumba,35,Gujarat Giants,44,"Patliputra indoor stadium, Patna"
Season 2,"January 27, 2024",Patna Pirates,32,Puneri Paltan,32,"Patliputra indoor stadium, Patna"
Season 2,"January 27, 2024",Dabang Delhi K.C.,36,U.P. Yoddhas,27,"Patliputra indoor stadium, Patna"
Season 2,"January 28, 2024",Jaipur Pink Panthers,28,Bengaluru Bulls,28,"Patliputra indoor stadium, Patna"
Season 2,"January 28, 2024",Tamil Thalaivas,50,U Mumba,34,"Patliputra indoor stadium, Patna"
Season 2,"January 29, 2024",Haryana Steelers,41,Bengal Warriors,36,"Patliputra indoor stadium, Patna"
Season 2,"January 29, 2024",Patna Pirates,32,Gujarat Giants,20,"Patliputra indoor stadium, Patna"
Season 2,"January 30, 2024",Puneri Paltan,60,Telugu Titans,29,"Patliputra indoor stadium, Patna"
Season 2,"January 31, 2024",Patna Pirates,29,Bengaluru Bulls,29,"Patliputra indoor stadium, Patna"
Season 2,"January 31, 2024",Jaipur Pink Panthers,42,Tamil Thalaivas,27,"Patliputra indoor stadium, Patna"
Season 2,"February 02, 2024",Dabang Delhi K.C.,38,Bengal Warriors,45,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 02, 2024",Gujarat Giants,30,Haryana Steelers,34,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 03, 2024",U.P. Yoddhas,39,U Mumba,23,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 03, 2024",Dabang Delhi K.C.,44,Telugu Titans,33,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 04, 2024",Bengaluru Bulls,42,U Mumba,37,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 04, 2024",Gujarat Giants,42,Tamil Thalaivas,30,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 05, 2024",Jaipur Pink Panthers,33,Patna Pirates,36,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 05, 2024",Dabang Delhi K.C.,30,Puneri Paltan,30,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 06, 2024",Tamil Thalaivas,32,U.P. Yoddhas,25,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 07, 2024",Bengaluru Bulls,31,Puneri Paltan,40,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 07, 2024",Dabang Delhi K.C.,22,Jaipur Pink Panthers,27,"Thyagaraj Indoor Stadium, Delhi"
Season 2,"February 09, 2024",Bengal Warriors,32,Gujarat Giants,41,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 09, 2024",Haryana Steelers,50,U.P. Yoddhas,34,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 10, 2024",Patna Pirates,44,U Mumba,23,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 10, 2024",Bengal Warriors,55,Telugu Titans,35,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 11, 2024",Tamil Thalaivas,29,Puneri Paltan,56,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 11, 2024",Bengaluru Bulls,28,Gujarat Giants,50,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 12, 2024",U.P. Yoddhas,30,Jaipur Pink Panthers,67,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 12, 2024",Bengal Warriors,46,U Mumba,34,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 13, 2024",Patna Pirates,38,Telugu Titans,36,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 14, 2024",Dabang Delhi K.C.,45,Tamil Thalaivas,43,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 14, 2024",Bengal Warriors,26,Puneri Paltan,29,"Netaji Indoor Stadium, Kolkata"
Season 2,"February 16, 2024",Haryana Steelers,39,Patna Pirates,32,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 16, 2024",Telugu Titans,44,Jaipur Pink Panthers,51,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 17, 2024",Haryana Steelers,46,U Mumba,40,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 17, 2024",U.P. Yoddhas,29,Gujarat Giants,36,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 18, 2024",Tamil Thalaivas,74,Bengal Warriors,37,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 18, 2024",Dabang Delhi K.C.,46,Bengaluru Bulls,38,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 19, 2024",Gujarat Giants,36,Jaipur Pink Panthers,45,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 19, 2024",Haryana Steelers,36,Puneri Paltan,51,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 20, 2024",U Mumba,45,Telugu Titans,45,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 21, 2024",Puneri Paltan,40,U.P. Yoddhas,38,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 21, 2024",Haryana Steelers,39,Bengaluru Bulls,53,"Tau Devilal indoor stadium, Panchkula"
Season 2,"February 26, 2024",Dabang Delhi K.C.,35,Patna Pirates,37,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"February 26, 2024",Gujarat Giants,25,Haryana Steelers,42,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"February 28, 2024",Puneri Paltan,37,Patna Pirates,21,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"February 28, 2024",Jaipur Pink Panthers,27,Haryana Steelers,31,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 2,"March 01, 2024",Puneri Paltan,28,Haryana Steelers,25,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"December 02, 2023",Gujarat Giants,38,Telugu Titans,32,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 02, 2023",U Mumba,34,U.P. Yoddhas,31,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 03, 2023",Tamil Thalaivas,42,Dabang Delhi K.C.,31,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 03, 2023",Gujarat Giants,34,Bengaluru Bulls,31,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 04, 2023",Puneri Paltan,37,Jaipur Pink Panthers,33,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 04, 2023",Bengaluru Bulls,30,Bengal Warriors,32,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 05, 2023",Gujarat Giants,39,U Mumba,37,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 06, 2023",Telugu Titans,28,Patna Pirates,50,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 06, 2023",U.P. Yoddhas,57,Haryana Steelers,27,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 07, 2023",Bengal Warriors,28,Jaipur Pink Panthers,28,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 07, 2023",Gujarat Giants,30,Patna Pirates,33,"EKA Arena by TransStadia, Ahmedabad"
Season 1,"December 08, 2023",Bengaluru Bulls,31,Dabang Delhi K.C.,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 08, 2023",Puneri Paltan,43,U Mumba,32,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 09, 2023",Bengaluru Bulls,32,Haryana Steelers,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 09, 2023",U.P. Yoddhas,48,Telugu Titans,33,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 10, 2023",Bengal Warriors,48,Tamil Thalaivas,38,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 10, 2023",Dabang Delhi K.C.,33,Haryana Steelers,35,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 11, 2023",Jaipur Pink Panthers,35,Gujarat Giants,32,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 11, 2023",Bengaluru Bulls,38,U.P. Yoddhas,36,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 12, 2023",Bengal Warriors,60,Patna Pirates,42,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 13, 2023",Tamil Thalaivas,38,Telugu Titans,36,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 13, 2023",Bengaluru Bulls,32,Jaipur Pink Panthers,30,"Shree Kanteerava Indoor Stadium, Bengaluru"
Season 1,"December 15, 2023",U Mumba,42,Patna Pirates,40,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 15, 2023",Puneri Paltan,39,Haryana Steelers,44,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 16, 2023",Puneri Paltan,49,Bengal Warriors,19,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 16, 2023",Telugu Titans,40,Dabang Delhi K.C.,51,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 17, 2023",Patna Pirates,28,Jaipur Pink Panthers,29,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 17, 2023",U Mumba,46,Tamil Thalaivas,33,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 18, 2023",Bengal Warriors,37,U.P. Yoddhas,37,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 18, 2023",Puneri Paltan,30,Dabang Delhi K.C.,23,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 19, 2023",Haryana Steelers,31,Gujarat Giants,29,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 20, 2023",Jaipur Pink Panthers,41,U.P. Yoddhas,24,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 20, 2023",Puneri Paltan,43,Bengaluru Bulls,18,"Badminton Hall in Balewadi sports complex,Pune, Pune"
Season 1,"December 22, 2023",Tamil Thalaivas,33,Patna Pirates,46,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 22, 2023",Haryana Steelers,36,Telugu Titans,37,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 23, 2023",Tamil Thalaivas,24,Jaipur Pink Panthers,25,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 23, 2023",Gujarat Giants,38,U.P. Yoddhas,30,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 24, 2023",U Mumba,39,Bengal Warriors,37,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 24, 2023",Bengaluru Bulls,33,Telugu Titans,31,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 25, 2023",Bengal Warriors,29,Dabang Delhi K.C.,38,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 25, 2023",Tamil Thalaivas,29,Haryana Steelers,42,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 26, 2023",Puneri Paltan,46,Patna Pirates,28,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 27, 2023",Jaipur Pink Panthers,32,Dabang Delhi K.C.,32,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 27, 2023",Tamil Thalaivas,30,Gujarat Giants,33,"SDAT Multi purpose Indoor Stadium, Chennai"
Season 1,"December 29, 2023",Patna Pirates,46,Haryana Steelers,33,"Noida Indoor Stadium, Noida"
Season 1,"December 29, 2023",U.P. Yoddhas,34,Bengaluru Bulls,33,"Noida Indoor Stadium, Noida"
Season 1,"December 30, 2023",Telugu Titans,34,U Mumba,52,"Noida Indoor Stadium, Noida"
Season 1,"December 30, 2023",U.P. Yoddhas,25,Dabang Delhi K.C.,35,"Noida Indoor Stadium, Noida"
Season 1,"December 31, 2023",Gujarat Giants,51,Bengal Warriors,42,"Noida Indoor Stadium, Noida"
Season 1,"December 31, 2023",Tamil Thalaivas,37,Bengaluru Bulls,38,"Noida Indoor Stadium, Noida"
Season 1,"January 01, 2024",Telugu Titans,18,Puneri Paltan,54,"Noida Indoor Stadium, Noida"
Season 1,"January 01, 2024",U.P. Yoddhas,41,Patna Pirates,48,"Noida Indoor Stadium, Noida"
Season 1,"January 02, 2024",Gujarat Giants,28,Dabang Delhi K.C.,35,"Noida Indoor Stadium, Noida"
Season 1,"January 03, 2024",Haryana Steelers,34,Jaipur Pink Panthers,45,"Noida Indoor Stadium, Noida"
Season 1,"January 03, 2024",U.P. Yoddhas,31,Puneri Paltan,40,"Noida Indoor Stadium, Noida"
Season 1,"January 05, 2024",Patna Pirates,37,Dabang Delhi K.C.,38,"DOME by NSCI, Mumbai"
Season 1,"January 05, 2024",U Mumba,40,Bengaluru Bulls,35,"DOME by NSCI, Mumbai"
Season 1,"January 06, 2024",U Mumba,31,Jaipur Pink Panthers,41,"DOME by NSCI, Mumbai"
Season 1,"January 06, 2024",Telugu Titans,30,Gujarat Giants,37,"DOME by NSCI, Mumbai"
Season 1,"January 07, 2024",Puneri Paltan,29,Tamil Thalaivas,26,"DOME by NSCI, Mumbai"
Season 1,"January 07, 2024",Bengal Warriors,35,Haryana Steelers,41,"DOME by NSCI, Mumbai"
Season 1,"January 08, 2024",Bengaluru Bulls,35,Patna Pirates,33,"DOME by NSCI, Mumbai"
Season 1,"January 08, 2024",U Mumba,34,Dabang Delhi K.C.,40,"DOME by NSCI, Mumbai"
Season 1,"January 09, 2024",Telugu Titans,26,Bengal Warriors,46,"DOME by NSCI, Mumbai"
Season 1,"January 10, 2024",U.P. Yoddhas,27,Tamil Thalaivas,46,"DOME by NSCI, Mumbai"
Season 1,"January 10, 2024",U Mumba,44,Haryana Steelers,44,"DOME by NSCI, Mumbai"
Season 1,"January 12, 2024",Jaipur Pink Panthers,38,Telugu Titans,35,"SMS Indoor stadium, Jaipur"
Season 1,"January 12, 2024",Puneri Paltan,37,Gujarat Giants,17,"SMS Indoor stadium, Jaipur"
Season 1,"January 13, 2024",Jaipur Pink Panthers,36,Puneri Paltan,34,"SMS Indoor stadium, Jaipur"
Season 1,"January 13, 2024",U.P. Yoddhas,37,Bengal Warriors,42,"SMS Indoor stadium, Jaipur"
Season 1,"January 14, 2024",Haryana Steelers,36,Tamil Thalaivas,31,"SMS Indoor stadium, Jaipur"
Season 1,"January 14, 2024",Dabang Delhi K.C.,39,Patna Pirates,39,"SMS Indoor stadium, Jaipur"
Season 1,"January 15, 2024",Bengal Warriors,35,Bengaluru Bulls,29,"SMS Indoor stadium, Jaipur"
Season 1,"January 15, 2024",Jaipur Pink Panthers,31,U Mumba,29,"SMS Indoor stadium, Jaipur"
Season 1,"January 16, 2024",Patna Pirates,25,Tamil Thalaivas,41,"SMS Indoor stadium, Jaipur"
Season 1,"January 17, 2024",Dabang Delhi K.C.,26,Gujarat Giants,31,"SMS Indoor stadium, Jaipur"
Season 1,"January 17, 2024",Jaipur Pink Panthers,37,Haryana Steelers,27,"SMS Indoor stadium, Jaipur"
Season 1,"January 19, 2024",Telugu Titans,26,Bengaluru Bulls,42,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 19, 2024",Patna Pirates,34,U.P. Yoddhas,31,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 20, 2024",Dabang Delhi K.C.,39,U Mumba,33,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 20, 2024",Telugu Titans,49,U.P. Yoddhas,32,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 21, 2024",Bengaluru Bulls,28,Tamil Thalaivas,45,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 21, 2024",Gujarat Giants,24,Puneri Paltan,34,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 22, 2024",Jaipur Pink Panthers,42,Bengal Warriors,25,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 22, 2024",Telugu Titans,30,Haryana Steelers,37,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 23, 2024",U Mumba,32,Puneri Paltan,32,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 24, 2024",Haryana Steelers,32,Dabang Delhi K.C.,35,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 24, 2024",Telugu Titans,29,Tamil Thalaivas,54,"GMC Balayogi Sports Complex, Gachibowli, Hyderabad"
Season 1,"January 26, 2024",Patna Pirates,44,Bengal Warriors,28,"Patliputra indoor stadium, Patna"
Season 1,"January 26, 2024",U Mumba,35,Gujarat Giants,44,"Patliputra indoor stadium, Patna"
Season 1,"January 27, 2024",Patna Pirates,32,Puneri Paltan,32,"Patliputra indoor stadium, Patna"
Season 1,"January 27, 2024",Dabang Delhi K.C.,36,U.P. Yoddhas,27,"Patliputra indoor stadium, Patna"
Season 1,"January 28, 2024",Jaipur Pink Panthers,28,Bengaluru Bulls,28,"Patliputra indoor stadium, Patna"
Season 1,"January 28, 2024",Tamil Thalaivas,50,U Mumba,34,"Patliputra indoor stadium, Patna"
Season 1,"January 29, 2024",Haryana Steelers,41,Bengal Warriors,36,"Patliputra indoor stadium, Patna"
Season 1,"January 29, 2024",Patna Pirates,32,Gujarat Giants,20,"Patliputra indoor stadium, Patna"
Season 1,"January 30, 2024",Puneri Paltan,60,Telugu Titans,29,"Patliputra indoor stadium, Patna"
Season 1,"January 31, 2024",Patna Pirates,29,Bengaluru Bulls,29,"Patliputra indoor stadium, Patna"
Season 1,"January 31, 2024",Jaipur Pink Panthers,42,Tamil Thalaivas,27,"Patliputra indoor stadium, Patna"
Season 1,"February 02, 2024",Dabang Delhi K.C.,38,Bengal Warriors,45,"Thyagaraj Indoor Stadium, Delhi"
